date,quarter,title,pros,cons,category
17-Jan-16,1,Info,Nice working environment at honeywell,Daily meeting & the kaizen it makes bit irritation,
19-Jan-16,1,Manager,Honeywell is a very big company with lots of career opportunities. Many jobs can be done remotely which gives employees the opportunity to work from anywhere.,Change is constantly happening at Honeywell with acquisitions being made and outsourcing decisions. Job security is always a concern with this company.,
20-Jan-16,1,Project Management,"The people and leadership are excellent, great team environment and ability to manage day to day responsibilities without micro-management, leader in market place","Human Resources are out of touch with business goals and people, employees are under valued or improperly compensated based on numbers instead of individual leadership feedback",
20-Jan-16,1,Honeywell,"Great brand new state of the art HQ facility, flexible hours and the ability to work remote, engaging and challenging initiatives and project work","Management does not respond timely to employees concerns, resourcing constraints that restrict and impact how you source project work- which impacts speed to deliver and quality",
22-Jan-16,1,Honeywell,"Great environment, nationalities diversity, good and flexible working hours.",low salary roof. outsource hiring or contracts.,
26-Jan-16,1,Repair Process Engineer,Ok to work for if you like big business,Believe their HR department needs some work.,
26-Jan-16,1,Senior Sales and Account Manager,Fortune 100 company that treats their employees very well,difficult to get hired on permantly,
26-Jan-16,1,"Great community, Great work, Old fashioned","The teams were working on very interesting projects that truly are used in the world. It is fascinating. The teams are very colloquial and comfortable with each other, therefore it doesn't seems too uptight. I loved my boss.","Very old fashioned. The decor is very old fashioned cubicle like (not too modern, like google, or facebook, etc.). All engineers have to wear business casual while other workers can wear anything (it felt superioristic). My superiors to my boss seemed so political and not engineering oriented. Meetings made every second of every day.",
26-Jan-16,1,Aerospace Program Manager,I was able to work on exciting technologies in very competitive environments. I would recommend this company to those that like to thrive in an ever changing environment.,No work life balance. Project implementations required 80 hour work weeks and when finished a 50 hour standard work week was expected. All core functions seemed to be going to contractors and not Honeywell Employees.,
26-Jan-16,1,sales,Lots of opportunities within the company.,Lots of competitive people in company,
27-Jan-16,1,Engineer system softwear,large company with lots of options to move around,"working with all the red tape issues, random layoffs",
29-Jan-16,1,System Engineer,Good place to work for. Emphasis was on learning fast and applying yourself,Follow-ups with colleagues at times was tough.,
